WKT,name,description
"POINT (147.1780829 -6.506982)",Somba,
"POINT (142.3837536 -8.8881448)",Idi-Taeme,
"POINT (146.113893 -5.9185665)",Awara,
"POINT (141.5821691 -8.6659716)",Komnzo,
"POINT (146.9405035 -6.4332966)",Nabak,
"POINT (146.2896743 -6.060609)",Uri,
"POINT (141.7400976 -8.6388183)",Nama,
"POINT (149.2838861 -9.7027491)",Maiwa,
"POINT (147.0421271 -6.595663)",Mesem,
"POINT (144.5404853 -5.9992067)",Golin,
